score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
0.029000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029500,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029600,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029700,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029800,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.029900,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.030000,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.030100,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.030200,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.030300,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
0.030400,605,377,219,8,1,0.632550,0.997354,0.035242,0.774127,0.516298,0.032597
